"Cat","year","geography","FIPS_code","geo_type","geo_full_name","geo_abbreviation","cat","age","eligible90"
"MN","2016","Arkansas",5,"state","Arkansas","AR","MN","15--18","11"
"MN","2016","Arkansas",5,"state","Arkansas","AR","MN","19--20","55"
"Total","2016","Arkansas",5,"state","Arkansas","AR","Total","< 1","19391"
"Total","2016","Arkansas",5,"state","Arkansas","AR","Total","1--2","51783"
"Total","2016","Arkansas",5,"state","Arkansas","AR","Total","3--5","76405"
"Total","2016","Arkansas",5,"state","Arkansas","AR","Total","6--9","102268"
"Total","2016","Arkansas",5,"state","Arkansas","AR","Total","10--14","108628"
"Total","2016","Arkansas",5,"state","Arkansas","AR","Total","15--18","75816"
"Total","2016","Arkansas",5,"state","Arkansas","AR","Total","19--20","29861"
"CN","2016","Arizona",4,"state","Arizona","AZ","CN","< 1","37876"
"CN","2016","Arizona",4,"state","Arizona","AZ","CN","1--2","105380"
"CN","2016","Arizona",4,"state","Arizona","AZ","CN","3--5","134502"
"CN","2016","Arizona",4,"state","Arizona","AZ","CN","6--9","171240"
"CN","2016","Arizona",4,"state","Arizona","AZ","CN","10--14","186836"
"CN","2016","Arizona",4,"state","Arizona","AZ","CN","15--18","126944"
"CN","2016","Arizona",4,"state","Arizona","AZ","CN","19--20","26852"
"MN","2016","Arizona",4,"state","Arizona","AZ","MN","< 1","0"
"MN","2016","Arizona",4,"state","Arizona","AZ","MN","1--2","0"
"MN","2016","Arizona",4,"state","Arizona","AZ","MN","3--5","0"
"MN","2016","Arizona",4,"state","Arizona","AZ","MN","6--9","0"
"MN","2016","Arizona",4,"state","Arizona","AZ","MN","10--14","0"
"MN","2016","Arizona",4,"state","Arizona","AZ","MN","15--18","0"
"MN","2016","Arizona",4,"state","Arizona","AZ","MN","19--20","0"
"Total","2016","Arizona",4,"state","Arizona","AZ","Total","< 1","37876"
"Total","2016","Arizona",4,"state","Arizona","AZ","Total","1--2","105380"
"Total","2016","Arizona",4,"state","Arizona","AZ","Total","3--5","134502"
"Total","2016","Arizona",4,"state","Arizona","AZ","Total","6--9","171240"
"Total","2016","Arizona",4,"state","Arizona","AZ","Total","10--14","186836"
"Total","2016","Arizona",4,"state","Arizona","AZ","Total","15--18","126944"
"Total","2016","Arizona",4,"state","Arizona","AZ","Total","19--20","26852"
"CN","2016","Alaska",2,"state","Alaska","AK","CN","< 1","4809"
"CN","2016","Alaska",2,"state","Alaska","AK","CN","1--2","11237"
"CN","2016","Alaska",2,"state","Alaska","AK","CN","3--5","15081"
"CN","2016","Alaska",2,"state","Alaska","AK","CN","6--9","19603"
"CN","2016","Alaska",2,"state","Alaska","AK","CN","10--14","20970"
"CN","2016","Alaska",2,"state","Alaska","AK","CN","15--18","15132"
"CN","2016","Alaska",2,"state","Alaska","AK","CN","19--20","5383"
"MN","2016","Alaska",2,"state","Alaska","AK","MN","< 1","0"
"MN","2016","Alaska",2,"state","Alaska","AK","MN","1--2","0"
"MN","2016","Alaska",2,"state","Alaska","AK","MN","3--5","0"
"MN","2016","Alaska",2,"state","Alaska","AK","MN","6--9","0"
"MN","2016","Alaska",2,"state","Alaska","AK","MN","10--14","0"
"MN","2016","Alaska",2,"state","Alaska","AK","MN","15--18","0"
"MN","2016","Alaska",2,"state","Alaska","AK","MN","19--20","0"
"Total","2016","Alaska",2,"state","Alaska","AK","Total","< 1","4809"
"Total","2016","Alaska",2,"state","Alaska","AK","Total","1--2","11237"
"Total","2016","Alaska",2,"state","Alaska","AK","Total","3--5","15081"
"Total","2016","Alaska",2,"state","Alaska","AK","Total","6--9","19603"
"Total","2016","Alaska",2,"state","Alaska","AK","Total","10--14","20970"
"Total","2016","Alaska",2,"state","Alaska","AK","Total","15--18","15132"
"Total","2016","Alaska",2,"state","Alaska","AK","Total","19--20","5383"
"CN","2016","Alabama",1,"state","Alabama","AL","CN","< 1","38176"
"CN","2016","Alabama",1,"state","Alabama","AL","CN","1--2","81835"
"CN","2016","Alabama",1,"state","Alabama","AL","CN","3--5","106229"
"CN","2016","Alabama",1,"state","Alabama","AL","CN","6--9","143525"
"CN","2016","Alabama",1,"state","Alabama","AL","CN","10--14","153152"
"CN","2016","Alabama",1,"state","Alabama","AL","CN","15--18","112936"
"CN","2016","Alabama",1,"state","Alabama","AL","CN","19--20","25570"
"MN","2016","Alabama",1,"state","Alabama","AL","MN","< 1","0"
"MN","2016","Alabama",1,"state","Alabama","AL","MN","1--2","0"
"MN","2016","Alabama",1,"state","Alabama","AL","MN","3--5","0"
"MN","2016","Alabama",1,"state","Alabama","AL","MN","6--9","0"
"MN","2016","Alabama",1,"state","Alabama","AL","MN","10--14","0"
"MN","2016","Alabama",1,"state","Alabama","AL","MN","15--18","0"
"MN","2016","Alabama",1,"state","Alabama","AL","MN","19--20","0"
"Total","2016","Alabama",1,"state","Alabama","AL","Total","< 1","38176"
"Total","2016","Alabama",1,"state","Alabama","AL","Total","1--2","81835"
"Total","2016","Alabama",1,"state","Alabama","AL","Total","3--5","106229"
"Total","2016","Alabama",1,"state","Alabama","AL","Total","6--9","143525"
"Total","2016","Alabama",1,"state","Alabama","AL","Total","10--14","153152"
"Total","2016","Alabama",1,"state","Alabama","AL","Total","15--18","112936"
"Total","2016","Alabama",1,"state","Alabama","AL","Total","19--20","25570"
"CN","2019","Wyoming",56,"state","Wyoming","WY","CN","< 1","2,236"
"CN","2019","Wyoming",56,"state","Wyoming","WY","CN","1--2","5,285"
"CN","2019","Wyoming",56,"state","Wyoming","WY","CN","3--5","7,137"
"CN","2019","Wyoming",56,"state","Wyoming","WY","CN","6--9","8,954"
"CN","2019","Wyoming",56,"state","Wyoming","WY","CN","10--14","10,692"
"CN","2019","Wyoming",56,"state","Wyoming","WY","CN","15--18","6,928"
"CN","2019","Wyoming",56,"state","Wyoming","WY","CN","19--20","1,440"
"MN","2019","Wyoming",56,"state","Wyoming","WY","MN","< 1","0"
"MN","2019","Wyoming",56,"state","Wyoming","WY","MN","1--2","0"
"MN","2019","Wyoming",56,"state","Wyoming","WY","MN","3--5","0"
"MN","2019","Wyoming",56,"state","Wyoming","WY","MN","6--9","0"
"MN","2019","Wyoming",56,"state","Wyoming","WY","MN","10--14","0"
"MN","2019","Wyoming",56,"state","Wyoming","WY","MN","15--18","0"
"MN","2019","Wyoming",56,"state","Wyoming","WY","MN","19--20","0"
"Total","2019","Wyoming",56,"state","Wyoming","WY","Total","< 1","2,236"
"Total","2019","Wyoming",56,"state","Wyoming","WY","Total","1--2","5,285"
"Total","2019","Wyoming",56,"state","Wyoming","WY","Total","3--5","7,137"
"Total","2019","Wyoming",56,"state","Wyoming","WY","Total","6--9","8,954"
"Total","2019","Wyoming",56,"state","Wyoming","WY","Total","10--14","10,692"
"Total","2019","Wyoming",56,"state","Wyoming","WY","Total","15--18","6,928"
"Total","2019","Wyoming",56,"state","Wyoming","WY","Total","19--20","1,440"
"CN","2019","Wisconsin",55,"state","Wisconsin","WI","CN","< 1","DS"
"CN","2019","Wisconsin",55,"state","Wisconsin","WI","CN","1--2","DS"
"CN","2019","Wisconsin",55,"state","Wisconsin","WI","CN","3--5","DS"
"CN","2019","Wisconsin",55,"state","Wisconsin","WI","CN","6--9","DS"
"CN","2019","Wisconsin",55,"state","Wisconsin","WI","CN","10--14","DS"
"CN","2019","Wisconsin",55,"state","Wisconsin","WI","CN","15--18","DS"
"CN","2019","Wisconsin",55,"state","Wisconsin","WI","CN","19--20","DS"
"MN","2019","Wisconsin",55,"state","Wisconsin","WI","MN","< 1","DS"
"MN","2019","Wisconsin",55,"state","Wisconsin","WI","MN","1--2","DS"
"MN","2019","Wisconsin",55,"state","Wisconsin","WI","MN","3--5","DS"
"MN","2019","Wisconsin",55,"state","Wisconsin","WI","MN","6--9","DS"
"MN","2019","Wisconsin",55,"state","Wisconsin","WI","MN","10--14","DS"
"MN","2019","Wisconsin",55,"state","Wisconsin","WI","MN","15--18","DS"
"MN","2019","Wisconsin",55,"state","Wisconsin","WI","MN","19--20","DS"
"Total","2019","Wisconsin",55,"state","Wisconsin","WI","Total","< 1","22,790"
"Total","2019","Wisconsin",55,"state","Wisconsin","WI","Total","1--2","60,109"
"Total","2019","Wisconsin",55,"state","Wisconsin","WI","Total","3--5","87,677"
"Total","2019","Wisconsin",55,"state","Wisconsin","WI","Total","6--9","108,117"
"Total","2019","Wisconsin",55,"state","Wisconsin","WI","Total","10--14","132,159"
"Total","2019","Wisconsin",55,"state","Wisconsin","WI","Total","15--18","89,191"
"Total","2019","Wisconsin",55,"state","Wisconsin","WI","Total","19--20","31,207"
"CN","2019","West Virginia",54,"state","West Virginia","WV","CN","< 1","DS"
"CN","2019","West Virginia",54,"state","West Virginia","WV","CN","1--2","DS"
"CN","2019","West Virginia",54,"state","West Virginia","WV","CN","3--5","DS"
"CN","2019","West Virginia",54,"state","West Virginia","WV","CN","6--9","DS"
"CN","2019","West Virginia",54,"state","West Virginia","WV","CN","10--14","DS"
"CN","2019","West Virginia",54,"state","West Virginia","WV","CN","15--18","DS"
"CN","2019","West Virginia",54,"state","West Virginia","WV","CN","19--20","DS"
"MN","2019","West Virginia",54,"state","West Virginia","WV","MN","< 1","DS"
"MN","2019","West Virginia",54,"state","West Virginia","WV","MN","1--2","DS"
"MN","2019","West Virginia",54,"state","West Virginia","WV","MN","3--5","DS"
"MN","2019","West Virginia",54,"state","West Virginia","WV","MN","6--9","DS"
"MN","2019","West Virginia",54,"state","West Virginia","WV","MN","10--14","DS"
"MN","2019","West Virginia",54,"state","West Virginia","WV","MN","15--18","DS"
"MN","2019","West Virginia",54,"state","West Virginia","WV","MN","19--20","DS"
"Total","2019","West Virginia",54,"state","West Virginia","WV","Total","< 1","9,705"
"Total","2019","West Virginia",54,"state","West Virginia","WV","Total","1--2","24,153"
"Total","2019","West Virginia",54,"state","West Virginia","WV","Total","3--5","34,837"
"Total","2019","West Virginia",54,"state","West Virginia","WV","Total","6--9","46,045"
"Total","2019","West Virginia",54,"state","West Virginia","WV","Total","10--14","56,192"
"Total","2019","West Virginia",54,"state","West Virginia","WV","Total","15--18","40,536"
"Total","2019","West Virginia",54,"state","West Virginia","WV","Total","19--20","18,183"
"CN","2019","Washington",53,"state","Washington","WA","CN","< 1","DS"
"CN","2019","Washington",53,"state","Washington","WA","CN","1--2","DS"
"CN","2019","Washington",53,"state","Washington","WA","CN","3--5","DS"
"CN","2019","Washington",53,"state","Washington","WA","CN","6--9","DS"
"CN","2019","Washington",53,"state","Washington","WA","CN","10--14","DS"
"CN","2019","Washington",53,"state","Washington","WA","CN","15--18","DS"
"CN","2019","Washington",53,"state","Washington","WA","CN","19--20","DS"
"MN","2019","Washington",53,"state","Washington","WA","MN","< 1","DS"
"MN","2019","Washington",53,"state","Washington","WA","MN","1--2","DS"
"MN","2019","Washington",53,"state","Washington","WA","MN","3--5","DS"
"MN","2019","Washington",53,"state","Washington","WA","MN","6--9","DS"
"MN","2019","Washington",53,"state","Washington","WA","MN","10--14","DS"
"MN","2019","Washington",53,"state","Washington","WA","MN","15--18","DS"
"MN","2019","Washington",53,"state","Washington","WA","MN","19--20","DS"
"Total","2019","Washington",53,"state","Washington","WA","Total","< 1","34,836"
"Total","2019","Washington",53,"state","Washington","WA","Total","1--2","89,850"
"Total","2019","Washington",53,"state","Washington","WA","Total","3--5","138,596"
"Total","2019","Washington",53,"state","Washington","WA","Total","6--9","178,318"
"Total","2019","Washington",53,"state","Washington","WA","Total","10--14","219,234"
"Total","2019","Washington",53,"state","Washington","WA","Total","15--18","149,126"
"Total","2019","Washington",53,"state","Washington","WA","Total","19--20","59,379"
"CN","2019","Virginia",51,"state","Virginia","VA","CN","< 1","DS"
"CN","2019","Virginia",51,"state","Virginia","VA","CN","1--2","DS"
"CN","2019","Virginia",51,"state","Virginia","VA","CN","3--5","DS"
"CN","2019","Virginia",51,"state","Virginia","VA","CN","6--9","DS"
"CN","2019","Virginia",51,"state","Virginia","VA","CN","10--14","DS"
"CN","2019","Virginia",51,"state","Virginia","VA","CN","15--18","DS"
"CN","2019","Virginia",51,"state","Virginia","VA","CN","19--20","DS"
"MN","2019","Virginia",51,"state","Virginia","VA","MN","< 1","DS"
"MN","2019","Virginia",51,"state","Virginia","VA","MN","1--2","DS"
"MN","2019","Virginia",51,"state","Virginia","VA","MN","3--5","DS"
"MN","2019","Virginia",51,"state","Virginia","VA","MN","6--9","DS"
"MN","2019","Virginia",51,"state","Virginia","VA","MN","10--14","DS"
"MN","2019","Virginia",51,"state","Virginia","VA","MN","15--18","DS"
"MN","2019","Virginia",51,"state","Virginia","VA","MN","19--20","DS"
"Total","2019","Virginia",51,"state","Virginia","VA","Total","< 1","29,794"
"Total","2019","Virginia",51,"state","Virginia","VA","Total","1--2","83,779"
"Total","2019","Virginia",51,"state","Virginia","VA","Total","3--5","115,887"
"Total","2019","Virginia",51,"state","Virginia","VA","Total","6--9","147,198"
"Total","2019","Virginia",51,"state","Virginia","VA","Total","10--14","180,348"
"Total","2019","Virginia",51,"state","Virginia","VA","Total","15--18","117,730"
"Total","2019","Virginia",51,"state","Virginia","VA","Total","19--20","46,446"
"CN","2019","Vermont",50,"state","Vermont","VT","CN","< 1","DS"
"CN","2019","Vermont",50,"state","Vermont","VT","CN","1--2","DS"
"CN","2019","Vermont",50,"state","Vermont","VT","CN","3--5","DS"
"CN","2019","Vermont",50,"state","Vermont","VT","CN","6--9","DS"
"CN","2019","Vermont",50,"state","Vermont","VT","CN","10--14","DS"
"CN","2019","Vermont",50,"state","Vermont","VT","CN","15--18","DS"
"CN","2019","Vermont",50,"state","Vermont","VT","CN","19--20","DS"
"MN","2019","Vermont",50,"state","Vermont","VT","MN","< 1","DS"
"MN","2019","Vermont",50,"state","Vermont","VT","MN","1--2","DS"
"MN","2019","Vermont",50,"state","Vermont","VT","MN","3--5","DS"
"MN","2019","Vermont",50,"state","Vermont","VT","MN","6--9","DS"
"MN","2019","Vermont",50,"state","Vermont","VT","MN","10--14","DS"
"MN","2019","Vermont",50,"state","Vermont","VT","MN","15--18","DS"
"MN","2019","Vermont",50,"state","Vermont","VT","MN","19--20","DS"
"Total","2019","Vermont",50,"state","Vermont","VT","Total","< 1","2,271"
"Total","2019","Vermont",50,"state","Vermont","VT","Total","1--2","6,702"
"Total","2019","Vermont",50,"state","Vermont","VT","Total","3--5","11,164"
"Total","2019","Vermont",50,"state","Vermont","VT","Total","6--9","15,074"
"Total","2019","Vermont",50,"state","Vermont","VT","Total","10--14","19,067"
"Total","2019","Vermont",50,"state","Vermont","VT","Total","15--18","14,148"
"Total","2019","Vermont",50,"state","Vermont","VT","Total","19--20","5,508"
"CN","2019","Utah",49,"state","Utah","UT","CN","< 1","DS"
"CN","2019","Utah",49,"state","Utah","UT","CN","1--2","DS"
"CN","2019","Utah",49,"state","Utah","UT","CN","3--5","DS"
"CN","2019","Utah",49,"state","Utah","UT","CN","6--9","DS"
"CN","2019","Utah",49,"state","Utah","UT","CN","10--14","DS"
"CN","2019","Utah",49,"state","Utah","UT","CN","15--18","DS"
"CN","2019","Utah",49,"state","Utah","UT","CN","19--20","DS"
"MN","2019","Utah",49,"state","Utah","UT","MN","< 1","DS"
"MN","2019","Utah",49,"state","Utah","UT","MN","1--2","DS"
"MN","2019","Utah",49,"state","Utah","UT","MN","3--5","DS"
"MN","2019","Utah",49,"state","Utah","UT","MN","6--9","DS"
"MN","2019","Utah",49,"state","Utah","UT","MN","10--14","DS"
"MN","2019","Utah",49,"state","Utah","UT","MN","15--18","DS"
"MN","2019","Utah",49,"state","Utah","UT","MN","19--20","DS"
"Total","2019","Utah",49,"state","Utah","UT","Total","< 1","12,796"
"Total","2019","Utah",49,"state","Utah","UT","Total","1--2","27,297"
"Total","2019","Utah",49,"state","Utah","UT","Total","3--5","35,076"
"Total","2019","Utah",49,"state","Utah","UT","Total","6--9","43,029"
"Total","2019","Utah",49,"state","Utah","UT","Total","10--14","52,057"
"Total","2019","Utah",49,"state","Utah","UT","Total","15--18","31,783"
"Total","2019","Utah",49,"state","Utah","UT","Total","19--20","6,439"
"CN","2019","Texas",48,"state","Texas","TX","CN","< 1","DS"
"CN","2019","Texas",48,"state","Texas","TX","CN","1--2","DS"
"CN","2019","Texas",48,"state","Texas","TX","CN","3--5","DS"
"CN","2019","Texas",48,"state","Texas","TX","CN","6--9","DS"
"CN","2019","Texas",48,"state","Texas","TX","CN","10--14","DS"
"CN","2019","Texas",48,"state","Texas","TX","CN","15--18","DS"
"CN","2019","Texas",48,"state","Texas","TX","CN","19--20","DS"
"MN","2019","Texas",48,"state","Texas","TX","MN","< 1","DS"
"MN","2019","Texas",48,"state","Texas","TX","MN","1--2","DS"
"MN","2019","Texas",48,"state","Texas","TX","MN","3--5","DS"
"MN","2019","Texas",48,"state","Texas","TX","MN","6--9","DS"
"MN","2019","Texas",48,"state","Texas","TX","MN","10--14","DS"
"MN","2019","Texas",48,"state","Texas","TX","MN","15--18","DS"
"MN","2019","Texas",48,"state","Texas","TX","MN","19--20","DS"
"Total","2019","Texas",48,"state","Texas","TX","Total","< 1","169,379"
"Total","2019","Texas",48,"state","Texas","TX","Total","1--2","426,262"
"Total","2019","Texas",48,"state","Texas","TX","Total","3--5","593,425"
"Total","2019","Texas",48,"state","Texas","TX","Total","6--9","719,240"
"Total","2019","Texas",48,"state","Texas","TX","Total","10--14","885,268"
"Total","2019","Texas",48,"state","Texas","TX","Total","15--18","574,040"
"Total","2019","Texas",48,"state","Texas","TX","Total","19--20","118,260"
"CN","2019","Tennessee",47,"state","Tennessee","TN","CN","< 1","37,233"
"CN","2019","Tennessee",47,"state","Tennessee","TN","CN","1--2","101,375"
"CN","2019","Tennessee",47,"state","Tennessee","TN","CN","3--5","136,785"
"CN","2019","Tennessee",47,"state","Tennessee","TN","CN","6--9","172,650"
